[1, "No, never that  https://t.co/BI4QXAUYio"]
[111, "@nightdreamsxo sneezing coz someone is missing you"]
[112, "RT @babygheII: by a dude you actually like and not some dehydrated crusty ashy lil boy https://t.co/J68OAqx77M"]
[113, "Babe my abs are from sneezing 100 times a day look @Connorrr_D  https://t.co/Av0Kw4Hc93"]
[114, "Trump's been presidential several times,he does it well. Being Presidential doesn't=Politician.NEED TO EXPAND BASE https://t.co/SqeU6EYKyy"]
[115, "RT @mysticlake: TONIGHT: bust out those wide lapels and platform shoes and catch disco fever! https://t.co/5ZvWoEhnbz"]
[116, "Y'all can hate all you want, but my Bieber Fever hasn't gone away"]
[117, "zumba events coming soon : ZUMBA FEVER : Sunday 29 April and ZUMBATHON charity day for all the family on Sunday 20"]
[118, "RT @GuardianYoshi: I got a fever\n\nAnd the only prescription\n\nIs more cowbell"]
[119, "https://t.co/g40AOCKIfA https://t.co/8v2rNgxxmc https://t.co/vFmfpkaeQv ..."]
[120, "12 Tips Alami Atasi Flu dan Pilek https://t.co/igyBJaGMSE"]
[121, "RT @TylerCase: I love sleeping with my pup. There's nothing like waking up to a bunch of hair in your face and sneezing uncontrollably."]
[122, "A high fever, beautiful"]
[123, "@AASChq COCKROACHES can be carriers of diseases,LIKE salmonella,  diarrhoea, dysentery, typhoid fever&amp;cholera! DRANDREW@ROACHDRS.COM"]
[124, "Three ways to feed Your Dipa Karmakar love and new gymnastics fever\n https://t.co/VUnQbsNeYz"]
[125, "anjir gua flu"]
[126, "jessika_alves: Seja como a \u00e1gua: male\u00e1vel, pura, flu\u00edda.. Mas ainda assim \u00e9 forte, com seu https://t.co/PPr5mh00yw https://t.co/pMIrICi7iS"]
[127, "IFL 4Q: Fever TD by Rob Brown. XP good. 5:42 to go. @SpokaneEmpire 46 - @TCFever 32 on @610KONARADIO and online at https://t.co/cBq9Ox0TFF"]
[128, "@countmystars I had my window open for a half hour and had to shut it. Was sneezing even on my Zyrtec."]
[129, "Smashing car windows and doing all this aggressive girl power shit....Beyonc\u00e9 makes me want to vomit"]
[130, "@kimcoryfitness COCKROACHES can be carriers of diseases,LIKE salmonella,  diarrhoea, dysentery, typhoid fever&amp;cholera! DRANDREW@ROACHDRS.COM"]
[131, "@AIM_Conference COCKROACHES can be carriers of diseases,LIKE salmonella,  diarrhoea, dysentery, typhoid fever&amp;cholera! DRANDREW@ROACHDRS.COM"]
[132, "Jurassic Park; filling my soul with wonder and dinosaur fever again and again. #SacPhilOpera #SacPhilOperaInsider"]
[133, "If youre feeling depressed, drink water. You could just be dehydrated."]
[134, "IFL 4Q: Fever TD by Ron Brown. XP good. 5:42 to go. @SpokaneEmpire 46 - @TCFever 32 on @610KONARADIO and online at https://t.co/cBq9Ox0TFF"]
[135, "RT @iLlFEHACKER: If youre feeling depressed, drink water. You could just be dehydrated."]
[136, "word vomit in the early morning."]
[137, "https://t.co/QD6qQ7EWoW https://t.co/kuaBWYjqa6 https://t.co/ZSHL4F2bHj..."]
[138, "I liked a @YouTube video from @dmonterico https://t.co/2mG0e32dwi Train Fever | North America | Part 7 | Metroliner"]
[139, "RT @suwoes: even the 3 stages of getting explosive diarrhea looks like art when presented by junmyeon https://t.co/Jd15HrApEz"]
[140, "This flu is kicking my ass, I feel the most miserable. Who wants to make my night even worse? I know ur out there. https://t.co/f2AxydEXtE"]
[141, "@JonCozart Yikes. I had it when I was in 2nd grade &amp; it is still in my top 2 worse illnesses ever. Right up there w/Swine Flu. Feel better!"]
[142, "@PreserveBoynton COCKROACHES can be carriers of diseases,LIKE salmonella  diarrhoea, dysentery, typhoid fever&amp;cholera! DRANDREW@ROACHDRS.COM"]
[143, "I lve the childhood when fever was the only thing viral.... #viral"]
[144, "mi tl es flu"]
[145, "Why you gotta do that to me, Beyonce? I have never been so dehydrated in my life #lemonade"]
[146, "I'm just soooo over this flu."]
[147, "#Xvideos - She Gives Me Asian Fever 2 - https://t.co/MxHjn5s0zc"]
[148, "RT @theladiesfinger: Three ways to feed Your Dipa Karmakar love and new gymnastics fever\n https://t.co/VUnQbsNeYz"]
[149, "Wreck. \n\nThe tears had stopped finally. \nShe had basically cried all night. \nSurprised she's not dehydrated again. \n[@frcstbittenlcve]"]
[150, "@SouthlakeLCSW Abuse of any kind, requires healing. My take is about the nonsense about recovery journey! Ya recover from flu"]
[151, "@taeyxngsr95 sakit apa? :o flu? /tempelin punggung tangan di dahi/"]
[152, "@JadenJlhanks I ate too much good food I might vomit"]
[153, "pet &amp; cuddle the crap out of loki. now sneezing up a storm. \n\nthe things I do for cat love. aka true love."]
[154, "Strep got me like... https://t.co/reUOb6vu6e"]
[155, "RT @TheBoydP: Willy Wonka and the Chocolate Factory is my favorite book about a daycare diarrhea outbreak."]
[156, "Fluminense: Gum reencontra o rival que marcou a volta por cima dele no Flu https://t.co/EAzRAqwUKu"]
[157, "Fluminense: Com voltas de Jonathan e Fred, Flu faz \u00faltimo treino antes do cl\u00e1ssico https://t.co/0kpHWvkraa"]
[158, "Gum reencontra o rival que marcou a volta por cima dele no Flu https://t.co/16n3zlNLiI"]
[159, "Com voltas de Jonathan e Fred, Flu faz \u00faltimo treino antes do cl\u00e1ssico https://t.co/S0vgjba6yz"]
[160, "The act of sneezing is referred to as sternutation. https://t.co/CwbXhDKhpP #life #selfie #photo"]
[161, "RT @TheCut: The Olsen Twins Hiding From the Paparazzi exhibit is a beautiful fever dream: https://t.co/D0eVyqrjcm https://t.co/BOPrrLbWS1"]
[162, "Hoje tem Flu"]
[163, "RT @c_montosa: Man is everyone's phone dry tonight or just mine????? That shit dehydrated af"]
[164, "Playing with little girls got my baby fever going crazy"]
[165, "Meron po BIEBER FEVER https://t.co/36swgzpv8I"]
[166, "@DoctorKarl surely it must frustrate you some days when people listen to the \"drunk man at the pub standing in his own vomit\" aka Internet"]
[167, "Today nite my sleep has cancelled due to \"Hola Amigo \" fever @anirudhofficial !!"]
[168, "The sight of mayo makes me want to vomit."]
[169, "Fever Ray 'Keep The Streets Empty For Me'"]
[170, "@jenga0724 @twerkfromhome @lashtonscuddles are you being annoying cause you're dehydrated? Cause.... https://t.co/MPvOKs1eCb"]
[171, "NSW Swifts set up netball blockbuster: The NSW Swifts have ended the West Coast Fever's unbeaten start to the ... https://t.co/WTSVnOGbmA"]
[172, "Pedazo de #bullshit &amp; #pink !! #fever"]
[173, "If I could be reincarnated, I would come back as a nasty flu virus. #WatchOutWorld"]
[174, "RT @SheldonStickley: Been having some real tattoo fever lately"]
[175, "I love sneezing. Just love it."]
[176, "Got a fuckin fever.. I'm pissed"]
[177, "This stomach flu messing with my appetite. Pls just go away..."]
[178, "Well bring yo ass home  https://t.co/eZDINTU2Os"]
[179, "RT @THEMAZEKILLS: 158 DAYS UNTIL THE FEVER CODE IS RELEASED\n\n300 DAYS UNTIL THE DEATH CURE IS RELEASED"]
[180, "RT @Sambasically: I'm so dehydrated that I almost just passed out :-)))))"]
[181, "Indian food..my cooking..in the prepping stage..Saturday nite fever..nite fever..! https://t.co/dWmoGR0hxA"]
[182, "RT @HolisticSpa1: Indian food..my cooking..in the prepping stage..Saturday nite fever..nite fever..! https://t.co/dWmoGR0hxA"]
[183, "RT @CatConLA: CATURDAY NIGHT FEVER. https://t.co/kaUxHbhyJ4"]
[184, "@shanecapon @TomShort7 chavy is blindo, he disappeared we went fever and I haven't seen him since? @RyanYoung77 where did he go?"]
[185, "I have baby fever again lort"]
[186, "IFL 4Q: Less than a minute to go, Rob Brown scores his 2nd consecutive 11 yd Fever TD! XP good. @SpokaneEmpire 52 - @TCFever 39"]
[187, "Saturday Night Live's Tribute episode to Prince is what I needed...\nPs: Dear Madonna, take your vitamins and flu... https://t.co/vDyN8H6WTI"]
[188, "Retweeted Dr. Khairul Hafidz (@khairul_hafidz):\n\nMitos,\n\nCool Fever bukan penyebab cerebral palsy,\n\nTeori... https://t.co/SlvBX5hFZx"]
[189, "I love having a piercing and it becoming infected then having a fever from it. I swear it's my favorite"]
[190, "RT @SoLyrical: Beyonc\u00e9 got my nerves so bad. Bitch I have diarrhea"]
[191, "Word vomit"]
[192, "will I ever stop sneezing"]
[193, "Riding coasters fast as comets,\nAlways make Grunty have to vomit. https://t.co/uYlH3gCysl"]
[194, "I'm sure I'm constantly hungover and dehydrated all my life"]
[195, "Dance Fever https://t.co/tuWboZnCCf"]
[196, "Brrr so cold even though it's burning outside. What if I have a fever =(("]
[197, "i hate sneezing when im on my period. It's self explanatory."]
[198, "I'm cooking up a storm with @mycookingfever and @frazzledmumblog https://t.co/EyYVdlLfaQ"]
[199, "#IFL: Spokane Empire 52 @ Tri-Cities Fever 39 (FINAL);\nhttps://t.co/rnlB8quY8J\n#IndoorScores"]
[200, "Fml having sore throat &amp; flu ugh"]
[201, "And up until I was like 13 I would vomit every single time I went out to eat I don't know why"]
[202, "Keep sneezing ugh"]
[203, "Thanks for all the get well wishes. And no-they don't give morphine for flu. I might have ulcers again. Because I care too much. It's a gift"]
[204, "The Spokane #Empire defeat their eastern Washington rival the Tri-Cities Fever on the road #IFL https://t.co/qJnSKcJ657"]
[205, "#IFL: Spokane Empire 52 @ Tri-Cities Fever 39 (FINAL);\nhttps://t.co/bxzH4xqLoa\n#IndoorScores"]
[206, "I have dodged 3 piles of vomit on this walk home but @ this point at living in Madison I am very numb to this"]
[207, "Final: Empire 52, Fever 39. Spokane (6-1) wins fourth straight game. Tri-Cities (3-5)."]
[208, "@sara11sarahkhan chal shkr ha fever tek hogaye ha"]
[209, "Fluff and Stuff https://t.co/42WOgib3Rk"]
[210, "Wanna vomit"]
[211, "i love it lol  https://t.co/xxWM04rPcY"]
[212, "https://t.co/fTIFDadmL6 https://t.co/3pQVz3RKCJ https://t.co/1Ycpd41e16..."]
[213, "RT @Bradlee6316: Dear Darla,  I hate your stinkin guts. You make me vomit. You are the scum between my toes. I hate you. Loveeeee Alfalfa"]
[214, "@lindseyprocurot  https://t.co/0kCen4Yxqj"]
[215, "Gross!  Didn't mean to retweet!  Should I #vomit now or later?  #dontprocreate #hatehim #yuck"]
[216, "Descansar pq hj e tem jogo do flu e eu cou"]
[217, "sneezing while driving is at least 3rd on the top 5 most terrifying things list"]
[218, "RT @alex_woodruff_: sneezing while driving is at least 3rd on the top 5 most terrifying things list"]
[219, "FluNews - Flu e Botafogo reeditam semi de 2015 e decidem vaga na final do Carioca https://t.co/QHjft7iqGA"]
[220, "fever isn't going away hellllllllp"]
[221, "So now I have a 102 fever :-)"]
[222, "RT @julianabffc: Hj tem semi\nHj tem Flu"]
[223, "https://t.co/LfHzfQLvf9:  https://t.co/56ZFzztS4Y"]
[224, "I love your smell yo style hotter than a fever"]
[225, "I'm so tired of sneezing"]
[226, "RT @SRJimm: Final: Empire 52, Fever 39. Spokane (6-1) wins fourth straight game. Tri-Cities (3-5)."]
[227, "is this a fever dream https://t.co/6GuWYtIqyP"]
[228, "@americatv_peru #JessicaNewton por favor q tenia que hacer Milet Figueroa en todo esto???? #MissPeru2016 vomit"]
[229, "Gostei de um v\u00eddeo @YouTube https://t.co/cxwHLZ74vo 4 no elevador (Diarrhea in the elevator Prank)"]
[230, "Victoria Givens Anal Fever Scene https://t.co/41H0AIBsan"]
[231, "RT @VijayASolankiV1: HOUSEFULL3 Trailer Today\n\n#HousefullInRajkot\n... https://t.co/kiJpgHDRge"]
[232, "RT @ephixa_ebooks: \"I would eat someones elses vomit\" - Yep...one of the stock FL studio errors are afraid of me right now."]
[233, "RT @snailmusic: DROPPING SOME NEW VOMIT AT RED ROCKS! https://t.co/KPw6fDSl9Q"]
[234, "RT @suzyzuee: I want a cute lil Dominican bbyboy. This baby fever gotta go bye bye lmao"]
[235, "I remind her everyday https://t.co/g3DIBTLOgo"]
[236, "Who's up!? Sat night fever baby"]
[237, "Yes... that is ALL vomit https://t.co/OrZ4Ik0Pjy"]
[238, "WHISKEY\n\nThe night time sniffling, sneezing,\nhow the hell did I end up on the\nbathroom floor medicine."]
[239, "RT @slayinglustre: The fact that the JaDine fever doesn't really end here makes me so happy. #JaDinePreciousLoveSpecial"]
[240, "@retired_anon This is also something important to keep in mind. https://t.co/pAXjqbOrSj"]
[241, "Ignore opinions, stick to the facts - and trim down to the Science. https://t.co/AWgB1EBrem"]
[242, "@ahlissaaa26 good kung di na naga vomit, drink lang plenty water at gatorade para di ma dehydrate. Yun nga daw plenty gat case niyan ngayon."]
[243, "People have baby fever but I have puppy fever!"]
[244, "RT @5haleyrichey4: sneezing while driving is so fricken scary"]
[245, "FluNews - Com voltas de Jonathan e Fred, Flu faz \u00faltimo treino antes do cl\u00e1ssico https://t.co/wtmBqxehNF"]
[246, "When you have a fever then wake up to this \nthanks @rithvik_RD @AshaNegi7 https://t.co/UMRXcOKEiA"]
[247, "Cooking Fever - Nordcurrent https://t.co/c9SHYOBsis https://t.co/8Fiul42iWT"]
[248, "@semjaphics @phineas_com haha this FA fever is taking you by thrusts."]
[249, "Baby girl got jungle fever. They start young https://t.co/12RQ1pHiYN"]
[250, "Sneezing many time a day last week make me so sure that i will burn this week with my flu. Damn"]
[251, "If kinda give me baby fever lol"]
[252, "Tlare e thube 4hrs o montsi,  https://t.co/hFKRQffmzV"]
[253, "RT @KrisHGraphics: 101\u00b0 fever as of 5 minutes ago. Still gonna go play ping pong though."]
[254, "this is a fever dream https://t.co/6o9PASd3Dq"]
[255, "Flu e Botafogo reeditam semi de 2015 e decidem vaga na final do Carioca https://t.co/paG0SWsTMz"]
[256, "Flu e Botafogo reeditam semi de 2015 e decidem vaga na final do Carioca: Em Volta Redonda, Tric... https://t.co/okfoGCnpyW #Sou #Botafogo"]
[257, "( @globoesportecom ) Flu e Botafogo reeditam semi de 2015 e decidem vaga na final do Carioca https://t.co/dRrhcbGdE1 *msg autom\u00e1tica"]
[258, "RT @hakyeon_jpg: this is a fever dream https://t.co/6o9PASd3Dq"]
[259, "I don't want the Miku Fever to end"]
[260, "RT @peachnblack: Baby girl got jungle fever. They start young https://t.co/12RQ1pHiYN"]
[261, "@_RhysCarter @GavinGrimez @LiveInTheNxw No, but I caught the flu from her.  So not worth it."]
[262, "Me gust\u00f3 un video de @YouTube de @seduccionya https://t.co/WSEq5NjrLi C\u00f3mo mantener una conversaci\u00f3n flu\u00edda con una mujer - Tips"]
[263, "my dad wont stop sneezing geezz"]
[264, "@hennyfitrie iya nih.. kemaren2 lg gak enak badan  ((flu ))"]
[265, "RT @hazeldaveyaber: #br12110 https://t.co/5YKUwf1SeE"]
[266, "@SangsterThomas have you read the prologue of the fever code? It's crazy good"]
[267, "All of a sudden have the urge to watch Green Card Fever, a Bollywood movie shot entirely in Columbus. https://t.co/tcTzu8kFXl"]
[268, "RT @CBSNews: Over-the-counter medications for colds, flu and allergies linked to dementia https://t.co/BDHd4gqfKA https://t.co/cEUf99tc6k"]
[269, "lemme vomit on ur head"]
[270, "@TylerJames__ Hashtag puppy fever. So bad."]
[271, "I just put my hand in @bathed_in_salt's vomit. How's your night going??"]
[272, "RT @hotttasian: When you're trying to do drugs in the bathroom and the girl in the stall next to you is having explosive diarrhea."]
[273, "A short while later?\nDies of.... \"the flu\". ;) https://t.co/M0X9wJlGZ5"]
[274, "sneezing with a congested throat is like swallowing nails"]
[275, "Baby fever is so real"]
[276, "as a live experience Just Be Friends &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; LUKA LUKA NIGHT FEVER"]
[277, "You kept my fever down the whole time using your ice powers."]
[278, "Is she sneezing or?? https://t.co/IhpoVjGLch"]
[279, "RT @IHSclassof2019: SPRING FEVER WEEK IS COMING https://t.co/6GiQatCV37"]
[280, "I liked a @YouTube video https://t.co/17dALBIo7E Trying Korean Snacks!! SNACK FEVER UNBOXING FT. Cocoavenue, Milesjai, and Riley!"]
[281, "RT @Shielasexy5: White slut has jungle fever&gt;&gt; https://t.co/lKMaYvvQFS https://t.co/K1qcWGhKTg"]
[282, "Men fall from the sky. Gods hurl thunderbolts. Innocents die. Thats how it starts, the fever, the rage, the feeling of powerlessness"]
[283, "Despite tunnel fever, it's business as usual for IDF troops on the Gaza border https://t.co/8UH0NXYw6V #NoMasHamas #hamas"]
[284, "Comes with the flu all weekend."]
[285, "Flu Spanyol, penyakit yang menjangkiti tentara di PD I, dianggap lebih mematikan dibanding perang itu sendiri."]
[286, "Wait, @teamtim was in Green Card Fever? https://t.co/lCY0G4cCv4 Though I think I saw that movie before I knew him."]
[287, "I liked a @YouTube video https://t.co/tcAZsUWe0H Girl Freaks Out Over Flu Shot Reaction"]
[288, "definitely not a good idea falling asleep outside for 2 hours in the freezing cold while having the flu....."]
[289, "Dr Len Horowitz - Anglo American Flu Genocide https://t.co/MOPTfrrXPL via @YouTube"]
[290, "i feel that https://t.co/xAPjMClcv8"]
[291, "Ya rab ne3mel eih fel 5ara el word vomit Ely bey7ottena Fe mawakef 5ara zay 7ayatna?"]
[292, "The baby fever is real.!"]
[293, "*googles cat scratch fever*"]
[294, "RT @halsey: Just woke up from a fever dream in which I killed one of my childhood friends and buried her in the mountains how's your day."]
[295, "Thinking about Green Card Fever just makes me miss Bombay Grille."]
[296, "#playwriting : it's the new #SaturdayNight Fever"]
[297, "@GummyFredo You could have also added \"parched\" or \"dehydrated.\""]
[298, "Cabin Fever was just a nasty ass movie. Shit was gross"]
[299, "24.04.2016 5:21:10 am UTC : Religious Vomit - Dead Kennedys"]
[300, "water water water water. i think i might be very dehydrated"]
[301, "RT @MIrzhaBetancour: I keep sneezing who tf is thinking about me?!"]
[302, "What's with this whole, \"I can't sit at a dining table without the belligerent need to vomit on the table's contents?\""]
[303, "RT @nihilist_arbys: nothing matters. There is no anything. Sentience itself is an illusory fever dream https://t.co/laQVjRIZvd"]
[304, "I wish so bad I had the finances to support a child...the baby fever is REAL. Until then I will continue taking my birth control...? One day"]
[305, "@MizuFerret @AtomicWyvern @SkitSkunk @Zettabit_Fox @HornetV2 @ArgentFang Is he laughing, sneezing or just outright spazzing?"]
[306, "RT @jheck_asher17: SARAHG On ASAPHaloHalo\n\n@JustSarahG  https://t.co/ZlJ6ZwuLbU"]
[307, "RT @Lyricoldrap: Can number one has a SEVERE vomit alert"]
[308, "do u ever feel really dehydrated like for an extreme amount of time no matter how much liquid u drink or is that just me"]
[309, "dehydrated af"]
[310, "I feel like i have fever ugh fuck dat"]
[311, "RT @DoctorKarl: Ignore opinions, stick to the facts - and trim down to the Science. https://t.co/AWgB1EBrem"]
[312, "his palms are sweaty knees weak arms are heavy there's vomit on his sweater already mom's spaghetti https://t.co/xOm4TJc15s"]
